Phi[deg],Theta[deg],dB(GainTotal)
245,95,-2.06725
250,95,-2.87783
255,95,-3.65817
260,95,-4.29928
265,95,-4.66356
270,95,-4.64632
275,95,-4.24876
280,95,-3.57777
285,95,-2.77301
290,95,-1.94542
295,95,-1.16243
300,95,-0.458059
305,95,0.153723
310,95,0.669556
315,95,1.09114
320,95,1.42237
325,95,1.66801
330,95,1.83333
335,95,1.92421
340,95,1.94742
345,95,1.91092
350,95,1.82381
355,95,1.69608
360,95,1.538
0,100,1.68348
5,100,1.54235
10,100,1.38614
15,100,1.22012
20,100,1.04688
25,100,0.86633
30,100,0.676018
35,100,0.471785
40,100,0.24854
45,100,0.0010482
50,100,-0.275334
55,100,-0.583914
60,100,-0.925779
65,100,-1.29858
70,100,-1.69489
75,100,-2.10016
80,100,-2.49093
85,100,-2.8345
90,100,-3.09194
95,100,-3.22602
100,100,-3.2123
105,100,-3.048
110,100,-2.75259
115,100,-2.35982
120,100,-1.90687
125,100,-1.42635
130,100,-0.943064
135,100,-0.474098
140,100,-0.0304727
145,100,0.381047
150,100,0.756452
155,100,1.09337
160,100,1.39021
165,100,1.64553
170,100,1.85755
175,100,2.02378
180,100,2.14094
185,100,2.20505
190,100,2.21162
195,100,2.156
200,100,2.03364
205,100,1.84025
210,100,1.57172
215,100,1.22377
220,100,0.791573
225,100,0.269263
230,100,-0.350102
235,100,-1.0738
240,100,-1.90696
245,100,-2.8467
250,100,-3.86937
255,100,-4.90648
260,100,-5.8116
265,100,-6.35659
270,100,-6.33923
275,100,-5.76106
280,100,-4.82684
285,100,-3.76655
290,100,-2.72821
295,100,-1.78185
300,100,-0.952407
305,100,-0.243579
310,100,0.349662
315,100,0.835258
320,100,1.22159
325,100,1.51662
330,100,1.72785
335,100,1.86263
340,100,1.92868
345,100,1.93439
350,100,1.88892
355,100,1.80202
360,100,1.68348
0,105,1.78566
5,105,1.68249
10,105,1.56177
15,105,1.42823
20,105,1.28415
25,105,1.12948
30,105,0.962205
35,105,0.779005
40,105,0.576016
45,105,0.34955
50,105,0.0967596
55,105,-0.18372
60,105,-0.491028
65,105,-0.821121
70,105,-1.16555
75,105,-1.51018
80,105,-1.83435
85,105,-2.11139
90,105,-2.31174
95,105,-2.40885
100,105,-2.3864
105,105,-2.24352
110,105,-1.99468
115,105,-1.66467
120,105,-1.2816
125,105,-0.871336
130,105,-0.454773
135,105,-0.0473698
140,105,0.340073
145,105,0.700279
150,105,1.02843
155,105,1.32128
160,105,1.57647
165,105,1.79191
170,105,1.9653
175,105,2.09385
180,105,2.17411
185,105,2.20197
190,105,2.17284
195,105,2.08184
200,105,1.92401
205,105,1.69431
210,105,1.38748
215,105,0.997552
220,105,0.517238
225,105,-0.0627884
230,105,-0.754515
235,105,-1.57274
240,105,-2.53403
245,105,-3.65259
250,105,-4.92775
255,105,-6.31039
260,105,-7.6278
265,105,-8.49825
270,105,-8.48556
275,105,-7.58935
280,105,-6.24698
285,105,-4.84308
290,105,-3.55306
295,105,-2.42806
300,105,-1.47009
305,105,-0.665672
310,105,0.00177955
315,105,0.54784
320,105,0.985973
325,105,1.32757
330,105,1.58245
335,105,1.75949
340,105,1.86727
345,105,1.91455
350,105,1.91048
355,105,1.86445
360,105,1.78566
0,110,1.84411
5,110,1.77847
10,110,1.69302
15,110,1.59198
20,110,1.47743
25,110,1.34945
30,110,1.20653
35,110,1.04625
40,110,0.865916
45,110,0.663277
50,110,0.437073
55,110,0.187579
60,110,-0.0828279
65,110,-0.368982
70,110,-0.662147
75,110,-0.94933
80,110,-1.21311
85,110,-1.43257
90,110,-1.58595
95,110,-1.65475
100,110,-1.62829
105,110,-1.50661
110,110,-1.30027
115,110,-1.02721
120,110,-0.708355
125,110,-0.363897
130,110,-0.0110837
135,110,0.336474
140,110,0.668575
145,110,0.977811
150,110,1.25886
155,110,1.50782
160,110,1.72166
165,110,1.8977
170,110,2.03317
175,110,2.12497
180,110,2.16948
185,110,2.16252
190,110,2.09947
195,110,1.97535
200,110,1.78491
205,110,1.52256
210,110,1.18205
215,110,0.755942
220,110,0.234766
225,110,-0.394017
230,110,-1.14726
235,110,-2.0475
240,110,-3.12425
245,110,-4.41423
250,110,-5.95601
255,110,-7.76138
260,110,-9.70024
265,110,-11.1908
270,110,-11.198
275,110,-9.70415
280,110,-7.7434
285,110,-5.9141
290,110,-4.35417
295,110,-3.05475
300,110,-1.97849
305,110,-1.08909
310,110,-0.356728
315,110,0.242072
320,110,0.725734
325,110,1.10887
330,110,1.40342
335,110,1.61959
340,110,1.76672
345,110,1.85382
350,110,1.88987
355,110,1.88379
360,110,1.84411
0,115,1.8601
5,115,1.83073
10,115,1.77959
15,115,1.71043
20,115,1.62519
25,115,1.52417
30,115,1.40643
35,115,1.27041
40,115,1.11454
45,115,0.937824
50,115,0.740313
55,115,0.523539
60,115,0.29091
65,115,0.0481353
70,115,-0.196357
75,115,-0.43117
80,115,-0.642147
85,115,-0.813378
90,115,-0.929205
95,115,-0.976975
100,115,-0.949778
105,115,-0.848074
110,115,-0.679481
115,115,-0.456876
120,115,-0.195695
125,115,0.0885302
130,115,0.381818
135,115,0.67248
140,115,0.951205
145,115,1.21079
150,115,1.44569
155,115,1.6516
160,115,1.82499
165,115,1.96267
170,115,2.06151
175,115,2.11814
180,115,2.12882
185,115,2.08937
190,115,1.99521
195,115,1.84139
200,115,1.62254
205,115,1.33273
210,115,0.965089
215,115,0.511143
220,115,-0.0400991
225,115,-0.703438
230,115,-1.4992
235,115,-2.45566
240,115,-3.61253
245,115,-5.02628
250,115,-6.77653
255,115,-8.96382
260,115,-11.6228
265,115,-14.1349
270,115,-14.2083
275,115,-11.73
280,115,-9.0331
285,115,-6.8062
290,115,-5.02716
295,115,-3.59655
300,115,-2.4344
305,115,-1.48369
310,115,-0.703836
315,115,-0.0652749
320,115,0.45407
325,115,0.871144
330,115,1.19939
335,115,1.44998
340,115,1.6327
345,115,1.75659
350,115,1.83033
355,115,1.86225
360,115,1.8601
0,120,1.83654
5,120,1.84122
10,120,1.8226
15,120,1.78399
20,120,1.72723
25,120,1.65287
30,120,1.56058
35,120,1.4496
40,120,1.31935
45,120,1.16989
50,120,1.00225
55,120,0.818847
60,120,0.623624
65,120,0.422341
70,120,0.222701
75,120,0.0343232
80,120,-0.131626
85,120,-0.263318
90,120,-0.349686
95,120,-0.382191
100,120,-0.356422
105,120,-0.272994
110,120,-0.13739
115,120,0.0411765
120,120,0.251388
125,120,0.481421
130,120,0.720126
135,120,0.957693
140,120,1.18587
145,120,1.39792
150,120,1.58836
155,120,1.75269
160,120,1.88706
165,120,1.98797
170,120,2.05203
175,120,2.07569
180,120,2.05519
185,120,1.98643
190,120,1.86499
195,120,1.68605
200,120,1.44436
205,120,1.13393
210,120,0.747714
215,120,0.276913
220,120,-0.289938
225,120,-0.968241
230,120,-1.77911
235,120,-2.75195
240,120,-3.92845
245,120,-5.36902
250,120,-7.16243
255,120,-9.43284
260,120,-12.2786
265,120,-15.1596
270,120,-15.3203
275,120,-12.512
280,120,-9.6068
285,120,-7.27813
290,120,-5.44328
295,120,-3.97683
300,120,-2.78799
305,120,-1.81473
310,120,-1.01386
315,120,-0.354323
320,120,0.186931
325,120,0.62753
330,120,0.981391
335,120,1.25993
340,120,1.47296
345,120,1.62927
350,120,1.73703
355,120,1.80381
360,120,1.83654
0,125,1.77793
5,125,1.8134
10,125,1.82459
15,125,1.81441
20,125,1.78463
25,125,1.73604
30,125,1.66886
35,125,1.58307
40,125,1.4789
45,125,1.35721
50,125,1.21974
55,125,1.06934
60,125,0.910144
65,125,0.747565
70,125,0.588336
75,125,0.440325
80,125,0.312133
85,125,0.212405
90,125,0.148856
95,125,0.127194
100,125,0.150191
105,125,0.217197
110,125,0.324254
115,125,0.464761
120,125,0.630448
125,125,0.812387
130,125,1.00181
135,125,1.19065
140,125,1.37179
145,125,1.53912
150,125,1.68743
155,125,1.81225
160,125,1.90964
165,125,1.97595
170,125,2.00766
175,125,2.00123
180,125,1.95296
185,125,1.85894
190,125,1.71502
195,125,1.51669
200,125,1.25901
205,125,0.936338
210,125,0.541994
215,125,0.0676958
220,125,-0.497174
225,125,-1.16653
230,125,-1.95886
235,125,-2.89877
240,125,-4.01905
245,125,-5.36247
250,125,-6.98028
255,125,-8.91152
260,125,-11.0748
265,125,-12.8837
270,125,-13.0111
275,125,-11.3196
280,125,-9.13953
285,125,-7.1618
290,125,-5.50279
295,125,-4.13021
300,125,-2.99314
305,125,-2.0478
310,125,-1.26
315,125,-0.603461
320,125,-0.0577624
325,125,0.393204
330,125,0.76243
335,125,1.06068
340,125,1.29719
345,125,1.48012
350,125,1.61686
355,125,1.71413
360,125,1.77793
0,130,1.69019
5,130,1.75211
10,130,1.78948
15,130,1.8048
20,130,1.79976
25,130,1.7754
30,130,1.73236
35,130,1.67122
40,130,1.59285
45,130,1.49864
50,130,1.39073
55,130,1.27212
60,130,1.14678
65,130,1.01956
70,130,0.896112
75,130,0.782702
80,130,0.685828
85,130,0.611722
90,130,0.565712
95,130,0.55158
100,130,0.571035
105,130,0.623452
110,130,0.705956
115,130,0.813798
120,130,0.940946
125,130,1.0807
130,130,1.22625
135,130,1.37109
140,130,1.5092
145,130,1.63523
150,130,1.74439
155,130,1.83244
160,130,1.89552
165,130,1.93003
170,130,1.93253
175,130,1.89957
180,130,1.82769
185,130,1.71329
190,130,1.55261
195,130,1.34162
200,130,1.07597
205,130,0.750716
210,130,0.360133
215,130,-0.102683
220,130,-0.646218
225,130,-1.28099
230,130,-2.01988
235,130,-2.8782
240,130,-3.87266
245,130,-5.01768
250,130,-6.31402
255,130,-7.71781
260,130,-9.0699
265,130,-10.0074
270,130,-10.0855
275,130,-9.25602
280,130,-7.93449
285,130,-6.51879
290,130,-5.19844
295,130,-4.03126
300,130,-3.02158
305,130,-2.15633
310,130,-1.41852
315,130,-0.791774
320,130,-0.261623
325,130,0.184369
330,130,0.556825
335,130,0.864882
340,130,1.11652
345,130,1.31884
350,130,1.4782
355,130,1.6003
360,130,1.69019
0,135,1.58038
5,135,1.66345
10,135,1.72245
15,135,1.75954
20,135,1.7763
25,135,1.77392
30,135,1.75337
35,135,1.71565
40,135,1.66202
45,135,1.59418
50,135,1.51441
55,135,1.42563
60,135,1.3314
65,135,1.23587
70,135,1.14365
75,135,1.05958
80,135,0.988497
85,135,0.934834
90,135,0.902243
95,135,0.893207
100,135,0.908756
105,135,0.948322
110,135,1.0098
115,135,1.08977
120,135,1.18383
125,135,1.287
130,135,1.39403
135,135,1.49977
140,135,1.59926
145,135,1.68791
150,135,1.7615
155,135,1.81617
160,135,1.84831
165,135,1.85455
170,135,1.83167
175,135,1.77652
180,135,1.68595
185,135,1.55681
190,135,1.38588
195,135,1.1698
200,135,0.905
205,135,0.587624
210,135,0.213366
215,135,-0.222638
220,135,-0.725873
225,135,-1.30236
230,135,-1.95818
235,135,-2.69832
240,135,-3.52407
245,135,-4.42755
250,135,-5.38147
255,135,-6.32194
260,135,-7.12926
265,135,-7.63283
270,135,-7.68295
275,135,-7.26215
280,135,-6.50103
285,135,-5.57547
290,135,-4.61908
295,135,-3.70704
300,135,-2.87329
305,135,-2.12886
310,135,-1.47358
315,135,-0.902317
320,135,-0.408049
325,135,0.0166543
330,135,0.378982
335,135,0.685634
340,135,0.94276
345,135,1.15597
350,135,1.33036
355,135,1.47049
360,135,1.58038
0,140,1.45631
5,140,1.55439
10,140,1.62975
15,140,1.68417
20,140,1.71911
25,140,1.7358
30,140,1.73538
35,140,1.71909
40,140,1.68838
45,140,1.64503
50,140,1.59125
55,140,1.52967
60,140,1.46336
65,140,1.39571
70,140,1.33033
75,140,1.2709
80,140,1.22092
85,140,1.18351
90,140,1.16115
95,140,1.15546
100,140,1.16703
105,140,1.19538
110,140,1.23896
115,140,1.29531
120,140,1.36123
125,140,1.43304
130,140,1.50677
135,140,1.5784
140,140,1.64394
145,140,1.69961
150,140,1.74179
155,140,1.7671
160,140,1.77236
165,140,1.75459
170,140,1.71091
175,140,1.63857
180,140,1.53492
185,140,1.39734
190,140,1.22327
195,140,1.01014
200,140,0.755399
205,140,0.456443
210,140,0.110666
215,140,-0.284487
220,140,-0.731325
225,140,-1.23148
230,140,-1.78511
235,140,-2.38943
240,140,-3.0363
245,140,-3.70857
250,140,-4.37511
255,140,-4.98611
260,140,-5.47316
265,140,-5.76122
270,140,-5.79551
275,140,-5.5691
280,140,-5.12704
285,140,-4.54281
290,140,-3.88905
295,140,-3.22133
300,140,-2.57562
305,140,-1.97227
310,140,-1.42111
315,140,-0.925452
320,140,-0.484893
325,140,-0.096977
330,140,0.241763
335,140,0.535216
340,140,0.787353
345,140,1.00204
350,140,1.18293
355,140,1.33336
360,140,1.45631
0,145,1.32598
5,145,1.43241
10,145,1.51832
15,145,1.5851
20,145,1.634
25,145,1.66621
30,145,1.68289
35,145,1.68531
40,145,1.67493
45,145,1.65344
50,145,1.62281
55,145,1.58528
60,145,1.54334
65,145,1.49965
70,145,1.45694
75,145,1.41791
80,145,1.38504
85,145,1.36048
90,145,1.34589
95,145,1.3423
100,145,1.35005
105,145,1.36873
110,145,1.39723
115,145,1.43377
120,145,1.47607
125,145,1.52144
130,145,1.56694
135,145,1.6095
140,145,1.64603
145,145,1.67348
150,145,1.68891
155,145,1.68952
160,145,1.67264
165,145,1.63576
170,145,1.57651
175,145,1.49264
180,145,1.38204
185,145,1.24275
190,145,1.07293
195,145,0.870884
200,145,0.635102
205,145,0.364302
210,145,0.0575256
215,145,-0.285689
220,145,-0.665013
225,145,-1.07886
230,145,-1.52364
235,145,-1.99279
240,145,-2.47534
245,145,-2.95443
250,145,-3.40608
255,145,-3.79927
260,145,-4.09876
265,145,-4.27157
270,145,-4.29607
275,145,-4.16931
280,145,-3.90827
285,145,-3.54392
290,145,-3.11212
295,145,-2.64601
300,145,-2.17204
305,145,-1.70915
310,145,-1.26972
315,145,-0.861058
320,145,-0.486867
325,145,-0.148403
330,145,0.154649
335,145,0.423569
340,145,0.660186
345,145,0.866595
350,145,1.04497
355,145,1.19744
360,145,1.32598
0,150,1.19708
5,150,1.30501
10,150,1.39535
15,150,1.46913
20,150,1.52732
25,150,1.57093
30,150,1.60102
35,150,1.61875
40,150,1.6254
45,150,1.62244
50,150,1.6115
55,150,1.59436
60,150,1.57293
65,150,1.54919
70,150,1.52512
75,150,1.50261
80,150,1.48337
85,150,1.46882
90,150,1.46006
95,150,1.45772
100,150,1.46198
105,150,1.47252
110,150,1.48855
115,150,1.50882
120,150,1.53173
125,150,1.55536
130,150,1.57761
135,150,1.59622
140,150,1.60887
145,150,1.61325
150,150,1.6071
155,150,1.58821
160,150,1.55451
165,150,1.50404
170,150,1.43498
175,150,1.34566
180,150,1.23459
185,150,1.10043
190,150,0.942108
195,150,0.758757
200,150,0.549836
205,150,0.315187
210,150,0.0551586
215,150,-0.229216
220,150,-0.535976
225,150,-0.861898
230,150,-1.20208
235,150,-1.54946
240,150,-1.89434
245,150,-2.2241
250,150,-2.52338
255,150,-2.77487
260,150,-2.96125
265,150,-3.06788
270,150,-3.08573
275,150,-3.01354
280,150,-2.8581
285,150,-2.63272
290,150,-2.35441
295,150,-2.04092
300,150,-1.70854
305,150,-1.37085
310,150,-1.03834
315,150,-0.7186
320,150,-0.416742
325,150,-0.135922
330,150,0.122177
335,150,0.356925
340,150,0.568425
345,150,0.757256
350,150,0.924286
355,150,1.07054
360,150,1.19708
0,155,1.0765
5,155,1.1792
10,155,1.26785
15,155,1.34306
20,155,1.4055
25,155,1.45591
30,155,1.49514
35,155,1.52409
40,155,1.54379
45,155,1.55538
50,155,1.56008
55,155,1.55921
60,155,1.55412
65,155,1.54621
70,155,1.53681
75,155,1.52717
80,155,1.51841
85,155,1.51144
90,155,1.50693
95,155,1.50526
100,155,1.50652
105,155,1.51045
110,155,1.51653
115,155,1.52391
120,155,1.53151
125,155,1.53804
130,155,1.54205
135,155,1.54197
140,155,1.53619
145,155,1.52305
150,155,1.50094
155,155,1.46828
160,155,1.4236
165,155,1.36552
170,155,1.29279
175,155,1.20433
180,155,1.09923
185,155,0.976797
190,155,0.836584
195,155,0.678434
200,155,0.502535
205,155,0.3095
210,155,0.100452
215,155,-0.122853
220,155,-0.357892
225,155,-0.601217
230,155,-0.848307
235,155,-1.09345
240,155,-1.3297
245,155,-1.54901
250,155,-1.74256
255,155,-1.90139
260,155,-2.01725
265,155,-2.0836
270,155,-2.09658
275,155,-2.05564
280,155,-1.96359
285,155,-1.82619
290,155,-1.65129
295,155,-1.44776
300,155,-1.22459
305,155,-0.990113
310,155,-0.751558
315,155,-0.514872
320,155,-0.284703
325,155,-0.0645119
330,155,0.14326
335,155,0.337003
340,155,0.515759
345,155,0.679066
350,155,0.826823
355,155,0.959188
360,155,1.0765
0,160,0.970005
5,160,1.06124
10,160,1.14224
15,160,1.21324
20,160,1.27461
25,160,1.32677
30,160,1.37028
35,160,1.40573
40,160,1.43383
45,160,1.45533
50,160,1.47106
55,160,1.48188
60,160,1.48866
65,160,1.49228
70,160,1.49355
75,160,1.49326
80,160,1.49205
85,160,1.49046
90,160,1.48888
95,160,1.48751
100,160,1.48638
105,160,1.48533
110,160,1.48401
115,160,1.48189
120,160,1.4783
125,160,1.47244
130,160,1.46338
135,160,1.45016
140,160,1.43172
145,160,1.40705
150,160,1.37509
155,160,1.33488
160,160,1.2855
165,160,1.22612
170,160,1.15604
175,160,1.07471
180,160,0.981733
185,160,0.87692
190,160,0.76031
195,160,0.632203
200,160,0.493204
205,160,0.344264
210,160,0.186728
215,160,0.0223831
220,160,-0.146495
225,160,-0.317107
230,160,-0.486124
235,160,-0.649706
240,160,-0.803586
245,160,-0.943218
250,160,-1.064
255,160,-1.16156
260,160,-1.23213
265,160,-1.27283
270,160,-1.28202
275,160,-1.25943
280,160,-1.20624
285,160,-1.12488
290,160,-1.01884
295,160,-0.892308
300,160,-0.749789
305,160,-0.595821
310,160,-0.434699
315,160,-0.270297
320,160,-0.105974
325,160,0.0554647
330,160,0.211757
335,160,0.36114
340,160,0.502292
345,160,0.634266
350,160,0.756428
355,160,0.868399
360,160,0.970005
0,165,0.882211
5,165,0.956441
10,165,1.02417
15,165,1.08537
20,165,1.1401
25,165,1.18853
30,165,1.23087
35,165,1.26744
40,165,1.29859
45,165,1.32472
50,165,1.34627
55,165,1.36372
60,165,1.37751
65,165,1.38813
70,165,1.39599
75,165,1.40151
80,165,1.40501
85,165,1.40677
90,165,1.40697
95,165,1.4057
100,165,1.40298
105,165,1.3987
110,165,1.39267
115,165,1.3846
120,165,1.37414
125,165,1.36085
130,165,1.34425
135,165,1.32381
140,165,1.29899
145,165,1.26926
150,165,1.23409
155,165,1.19299
160,165,1.14554
165,165,1.09138
170,165,1.03026
175,165,0.962025
180,165,0.886663
185,165,0.804309
190,165,0.715266
195,165,0.620022
200,165,0.51927
205,165,0.41392
210,165,0.305112
215,165,0.194223
220,165,0.082862
225,165,-0.0271369
230,165,-0.133747
235,165,-0.234792
240,165,-0.328008
245,165,-0.411132
250,165,-0.482001
255,165,-0.538661
260,165,-0.579489
265,165,-0.603291
270,165,-0.609385
275,165,-0.597652
280,165,-0.568537
285,165,-0.523021
290,165,-0.462545
295,165,-0.38891
300,165,-0.304167
305,165,-0.210497
310,165,-0.110107
315,165,-0.005137
320,165,0.102408
325,165,0.210707
330,165,0.31815
335,165,0.423354
340,165,0.525155
345,165,0.622605
350,165,0.714952
355,165,0.801625
360,165,0.882211
0,170,0.816614
5,170,0.869227
10,170,0.918574
15,170,0.964477
20,170,1.00683
25,170,1.04556
30,170,1.0807
35,170,1.11226
40,170,1.14034
45,170,1.16506
50,170,1.18654
55,170,1.20496
60,170,1.22045
65,170,1.2332
70,170,1.24336
75,170,1.25106
80,170,1.25644
85,170,1.25958
90,170,1.26055
95,170,1.25938
100,170,1.25607
105,170,1.25058
110,170,1.24282
115,170,1.23269
120,170,1.22006
125,170,1.20476
130,170,1.18663
135,170,1.16547
140,170,1.14112
145,170,1.11339
150,170,1.08214
155,170,1.04725
160,170,1.00863
165,170,0.966265
170,170,0.920168
175,170,0.870439
180,170,0.817249
185,170,0.760851
190,170,0.70159
195,170,0.639901
200,170,0.576318
205,170,0.51147
210,170,0.446076
215,170,0.380945
220,170,0.316957
225,170,0.255053
230,170,0.196217
235,170,0.141443
240,170,0.0917162
245,170,0.0479758
250,170,0.0110829
255,170,-0.0182124
260,170,-0.0393019
265,170,-0.0517454
270,170,-0.0552903
275,170,-0.0498825
280,170,-0.0356682
285,170,-0.0129857
290,170,0.0176512
295,170,0.055577
300,170,0.100004
305,170,0.150056
310,170,0.204798
315,170,0.263273
320,170,0.324525
325,170,0.387628
330,170,0.451705
335,170,0.515944
340,170,0.579605
345,170,0.642032
350,170,0.702653
355,170,0.760981
360,170,0.816614
0,175,0.775815
5,175,0.80328
10,175,0.82977
15,175,0.855126
20,175,0.87921
25,175,0.901906
30,175,0.923117
35,175,0.942768
40,175,0.960798
45,175,0.977163
50,175,0.991832
55,175,1.00478
60,175,1.01601
65,175,1.0255
70,175,1.03326
75,175,1.03929
80,175,1.04359
85,175,1.04617
90,175,1.04703
95,175,1.04618
100,175,1.04361
105,175,1.03932
110,175,1.03331
115,175,1.02557
120,175,1.01611
125,175,1.00491
130,175,0.991977
135,175,0.977327
140,175,0.960972
145,175,0.942941
150,175,0.923272
155,175,0.902023
160,175,0.879266
165,175,0.855096
170,175,0.829627
175,175,0.802997
180,175,0.775369
185,175,0.74693
190,175,0.71789
195,175,0.688485
200,175,0.658972
205,175,0.629627
210,175,0.600742
215,175,0.572625
220,175,0.545588
225,175,0.519947
230,175,0.496015
235,175,0.474096
240,175,0.454476
245,175,0.437418
250,175,0.423158
255,175,0.411894
260,175,0.403787
265,175,0.398949
270,175,0.397449
275,175,0.399305
280,175,0.404485
285,175,0.412909
290,175,0.424452
295,175,0.438944
300,175,0.456179
305,175,0.475919
310,175,0.497899
315,175,0.521833
320,175,0.547421
325,175,0.574359
330,175,0.602337
335,175,0.63105
340,175,0.660204
345,175,0.689515
350,175,0.718716
355,175,0.747558
360,175,0.775815
0,180,0.761678
5,180,0.761678
10,180,0.761678
15,180,0.761678
20,180,0.761678
25,180,0.761678
30,180,0.761678
35,180,0.761678
40,180,0.761678
45,180,0.761678
50,180,0.761678
55,180,0.761678
60,180,0.761678
65,180,0.761678
70,180,0.761678
75,180,0.761678
80,180,0.761678
85,180,0.761678
90,180,0.761678
95,180,0.761678
100,180,0.761678
105,180,0.761678
110,180,0.761678
115,180,0.761678
120,180,0.761678
125,180,0.761678
130,180,0.761678
135,180,0.761678
140,180,0.761678
145,180,0.761678
150,180,0.761678
155,180,0.761678
160,180,0.761678
165,180,0.761678
170,180,0.761678
175,180,0.761678
180,180,0.761678
185,180,0.761678
190,180,0.761678
195,180,0.761678
200,180,0.761678
205,180,0.761678
210,180,0.761678
215,180,0.761678
220,180,0.761678
225,180,0.761678
230,180,0.761678
235,180,0.761678
240,180,0.761678
245,180,0.761678
250,180,0.761678
255,180,0.761678
260,180,0.761678
265,180,0.761678
270,180,0.761678
275,180,0.761678
280,180,0.761678
285,180,0.761678
290,180,0.761678
295,180,0.761678
300,180,0.761678
305,180,0.761678
310,180,0.761678
315,180,0.761678
320,180,0.761678
325,180,0.761678
330,180,0.761678
335,180,0.761678
340,180,0.761678
345,180,0.761678
350,180,0.761678
355,180,0.761678
360,180,0.761678
0,185,0.775369
5,185,0.74693
10,185,0.71789
15,185,0.688485
20,185,0.658972
25,185,0.629627
30,185,0.600742
35,185,0.572625
40,185,0.545588
45,185,0.519947
50,185,0.496015
55,185,0.474096
60,185,0.454476
65,185,0.437418
70,185,0.423158
75,185,0.411894
80,185,0.403787
85,185,0.398949
90,185,0.397449
95,185,0.399305
100,185,0.404485
105,185,0.412909
110,185,0.424452
115,185,0.438944
120,185,0.456179
125,185,0.475919
130,185,0.497899
135,185,0.521833
140,185,0.547421
145,185,0.574359
150,185,0.602337
155,185,0.63105
160,185,0.660204
165,185,0.689515
170,185,0.718716
175,185,0.747558
180,185,0.775815
185,185,0.80328
190,185,0.82977
195,185,0.855126
200,185,0.87921
205,185,0.901906
210,185,0.923117
215,185,0.942768
220,185,0.960798
225,185,0.977163
230,185,0.991832
235,185,1.00478
240,185,1.01601
245,185,1.0255
250,185,1.03326
255,185,1.03929
260,185,1.04359
265,185,1.04617
270,185,1.04703
275,185,1.04618
280,185,1.04361
285,185,1.03932
290,185,1.03331
295,185,1.02557
300,185,1.01611
305,185,1.00491
310,185,0.991977
315,185,0.977327
320,185,0.960972
325,185,0.942941
330,185,0.923272
335,185,0.902023
340,185,0.879266
345,185,0.855096
350,185,0.829627
355,185,0.802997
360,185,0.775369
0,190,0.817249
5,190,0.760851
10,190,0.70159
15,190,0.639901
20,190,0.576318
25,190,0.51147
30,190,0.446076
35,190,0.380945
40,190,0.316957
45,190,0.255053
50,190,0.196217
55,190,0.141443
60,190,0.0917162
65,190,0.0479758
70,190,0.0110829
75,190,-0.0182124
80,190,-0.0393019
85,190,-0.0517454
90,190,-0.0552903
95,190,-0.0498825
100,190,-0.0356682
105,190,-0.0129857
110,190,0.0176512
115,190,0.055577
120,190,0.100004
125,190,0.150056
130,190,0.204798
135,190,0.263273
140,190,0.324525
145,190,0.387628
150,190,0.451705
155,190,0.515944
160,190,0.579605
165,190,0.642032
170,190,0.702653
175,190,0.760981
180,190,0.816614
185,190,0.869227
190,190,0.918574
195,190,0.964477
200,190,1.00683
205,190,1.04556
210,190,1.0807
215,190,1.11226
220,190,1.14034
225,190,1.16506
230,190,1.18654
235,190,1.20496
240,190,1.22045
245,190,1.2332
250,190,1.24336
255,190,1.25106
260,190,1.25644
265,190,1.25958
270,190,1.26055
275,190,1.25938
280,190,1.25607
285,190,1.25058
290,190,1.24282
295,190,1.23269
300,190,1.22006
305,190,1.20476
310,190,1.18663
315,190,1.16547
320,190,1.14112
325,190,1.11339
330,190,1.08214
335,190,1.04725
340,190,1.00863
345,190,0.966265
350,190,0.920168
355,190,0.870439
360,190,0.817249
0,195,0.886663
5,195,0.804309
10,195,0.715266
15,195,0.620022
20,195,0.51927
25,195,0.41392
30,195,0.305112
35,195,0.194223
40,195,0.082862
45,195,-0.0271369
50,195,-0.133747
55,195,-0.234792
60,195,-0.328008
65,195,-0.411132
70,195,-0.482001
75,195,-0.538661
80,195,-0.579489
85,195,-0.603291
90,195,-0.609385
95,195,-0.597652
100,195,-0.568537
105,195,-0.523021
110,195,-0.462545
115,195,-0.38891
120,195,-0.304167
125,195,-0.210497
130,195,-0.110107
135,195,-0.005137
140,195,0.102408
145,195,0.210707
150,195,0.31815
155,195,0.423354
160,195,0.525155
165,195,0.622605
170,195,0.714952
175,195,0.801625
180,195,0.882211
185,195,0.956441
190,195,1.02417
195,195,1.08537
200,195,1.1401
205,195,1.18853
210,195,1.23087
215,195,1.26744
220,195,1.29859
225,195,1.32472
230,195,1.34627
235,195,1.36372
240,195,1.37751
245,195,1.38813
250,195,1.39599
255,195,1.40151
260,195,1.40501
265,195,1.40677
270,195,1.40697
275,195,1.4057
280,195,1.40298
285,195,1.3987
290,195,1.39267
295,195,1.3846
300,195,1.37414
305,195,1.36085
310,195,1.34425
315,195,1.32381
320,195,1.29899
325,195,1.26926
330,195,1.23409
335,195,1.19299
340,195,1.14554
345,195,1.09138
350,195,1.03026
355,195,0.962025
360,195,0.886663
0,200,0.981733
5,200,0.87692
10,200,0.76031
15,200,0.632203
20,200,0.493204
25,200,0.344264
30,200,0.186728
35,200,0.0223831
40,200,-0.146495
45,200,-0.317107
50,200,-0.486124
55,200,-0.649706
60,200,-0.803586
65,200,-0.943218
70,200,-1.064
75,200,-1.16156
80,200,-1.23213
85,200,-1.27283
90,200,-1.28202
